entry_datetime,exit_datetime,action,entry_price,exit_price,profit,bar_len,size,cash,portfolio_value
2024-09-24 02:00:00,2024-09-24 03:00:00,BUY SIDE,63209.03,63437.76,85.97000000000116,4,0,99569.69,99569.69
2024-09-24 03:15:00,2024-09-24 04:30:00,BUY SIDE,63437.77,63768.44,274.92000000000553,5,0,99844.61000000002,99844.61000000002
2024-09-24 04:45:00,2024-09-24 05:15:00,BUY SIDE,63768.44,63596.52,-107.44000000000233,2,0,99737.17000000001,99737.17000000001
2024-09-24 05:45:00,2024-09-24 06:45:00,BUY SIDE,63530.1,63527.51,141.23999999999796,4,0,99878.41,99878.41
2024-09-24 07:00:00,2024-09-24 08:45:00,BUY SIDE,63553.2,63448.37,-2.3699999999953434,7,0,99876.04000000001,99876.04000000001
2024-09-24 09:00:00,2024-09-24 10:00:00,BUY SIDE,63447.36,63254.68,78.04000000000087,4,0,99954.08000000002,99954.08000000002
2024-09-24 10:15:00,2024-09-24 11:15:00,BUY SIDE,63254.68,63133.8,-12.660000000003492,4,0,99941.42000000001,99941.42000000001
2024-09-24 11:30:00,2024-09-24 12:00:00,BUY SIDE,63114.74,63199.85,41.45999999999913,2,0,99982.88,99982.88
2024-09-24 12:15:00,2024-09-24 12:45:00,BUY SIDE,63199.84,63256.75,66.19000000000233,2,0,100049.07,100049.07
2024-09-24 13:00:00,2024-09-24 13:15:00,BUY SIDE,63255.59,63541.6,134.7100000000064,1,0,100183.78000000001,100183.78000000001
2024-09-24 14:30:00,2024-09-24 14:45:00,BUY SIDE,63620.49,63720.68,177.61000000000058,1,0,100361.39000000001,100361.39000000001
2024-09-24 15:45:00,2024-09-24 16:45:00,BUY SIDE,63869.42,64227.99,330.22000000000116,4,0,100691.61000000002,100691.61000000002
2024-09-24 17:00:00,2024-09-24 17:15:00,BUY SIDE,64222.16,64115.34,59.529999999998836,1,0,100751.14000000001,100751.14000000001
2024-09-24 17:30:00,2024-09-24 19:00:00,BUY SIDE,64115.35,64425.23,468.0400000000009,6,0,101219.18000000002,101219.18000000002
2024-09-24 19:45:00,2024-09-24 20:45:00,BUY SIDE,64308.7,64134.85,83.66000000000349,4,0,101302.84000000003,101302.84000000003
2024-09-24 22:15:00,2024-09-24 22:45:00,BUY SIDE,64365.11,64420.3,178.20999999999913,2,0,101481.05000000002,101481.05000000002
2024-09-24 23:15:00,2024-09-25 00:15:00,BUY SIDE,64292.95,64387.45,96.75,4,0,101577.80000000002,101577.80000000002
2024-09-25 00:45:00,2024-09-25 01:00:00,BUY SIDE,64267.99,64210.2,-41.58999999999651,1,0,101536.21000000002,101536.21000000002
2024-09-25 01:15:00,2024-09-25 01:45:00,BUY SIDE,64216.0,64180.0,-33.98999999999796,2,0,101502.22000000003,101502.22000000003
2024-09-25 02:15:00,2024-09-25 02:45:00,BUY SIDE,64086.82,63814.33,-109.27999999999884,2,0,101392.94000000003,101392.94000000003
2024-09-25 03:15:00,2024-09-25 03:45:00,BUY SIDE,63757.88,63847.83,60.770000000004075,2,0,101453.71000000004,101453.71000000004
2024-09-25 04:00:00,2024-09-25 04:30:00,BUY SIDE,63815.0,63889.0,50.0199999999968,2,0,101503.73000000004,101503.73000000004
2024-09-25 04:45:00,2024-09-25 05:00:00,BUY SIDE,63891.3,63868.62,-91.20000000000437,1,0,101412.53000000003,101412.53000000003
2024-09-25 05:15:00,2024-09-25 06:15:00,BUY SIDE,63868.62,63728.8,-215.83000000000175,4,0,101196.70000000003,101196.70000000003
2024-09-25 06:30:00,2024-09-25 07:45:00,BUY SIDE,63718.11,63836.79,63.29000000000087,5,0,101259.99000000002,101259.99000000002
2024-09-25 08:30:00,2024-09-25 08:45:00,BUY SIDE,63777.4,63590.08,-43.599999999998545,1,0,101216.39000000001,101216.39000000001
2024-09-25 09:00:00,2024-09-25 09:15:00,BUY SIDE,63590.07,63530.28,-102.01000000000204,1,0,101114.38,101114.38
2024-09-25 10:15:00,2024-09-25 10:30:00,BUY SIDE,63767.8,63815.06,-66.78000000000611,1,0,101047.6,101047.6
2024-09-25 11:15:00,2024-09-25 11:30:00,BUY SIDE,63854.69,63894.0,-62.43000000000029,1,0,100985.17000000001,100985.17000000001
2024-09-25 11:45:00,2024-09-25 12:00:00,BUY SIDE,63776.76,63590.16,-268.1600000000035,1,0,100717.01000000001,100717.01000000001
2024-09-25 12:15:00,2024-09-25 12:45:00,BUY SIDE,63590.16,63460.75,5.669999999998254,2,0,100722.68000000001,100722.68000000001
2024-09-25 13:00:00,2024-09-25 15:00:00,BUY SIDE,63457.41,63337.75,-119.51000000000204,8,0,100603.17000000001,100603.17000000001
2024-09-25 15:30:00,2024-09-25 18:00:00,BUY SIDE,63257.2,63300.99,175.86000000000058,10,0,100779.03000000001,100779.03000000001
2024-09-25 18:45:00,2024-09-25 20:30:00,BUY SIDE,63327.0,63159.08,-81.0,7,0,100698.03000000001,100698.03000000001
2024-09-25 21:00:00,2024-09-25 21:15:00,BUY SIDE,62925.0,62881.89,30.05999999999767,1,0,100728.09000000001,100728.09000000001
2024-09-25 21:30:00,2024-09-25 21:45:00,BUY SIDE,62828.6,63142.2,106.13000000000466,1,0,100834.22000000002,100834.22000000002
2024-09-25 22:00:00,2024-09-25 22:15:00,BUY SIDE,63145.14,63183.89,-18.389999999999418,1,0,100815.83000000002,100815.83000000002
2024-09-25 22:30:00,2024-09-25 23:15:00,BUY SIDE,63183.9,63300.0,181.52999999999884,3,0,100997.36000000002,100997.36000000002
2024-09-25 23:30:00,2024-09-26 00:15:00,BUY SIDE,63291.14,63436.44,177.7300000000032,3,0,101175.09000000003,101175.09000000003
2024-09-26 01:00:00,2024-09-26 01:15:00,BUY SIDE,63363.4,63536.99,96.97999999999593,1,0,101272.07000000002,101272.07000000002
